CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12
-0.433474684,-1.016114557,0.316210311,1.208736113,-0.124072131,-0.335018179,0.381773351,0.189367755,0.348546166,0.045648233,-0.248618369,0.34840128
-0.450854427,-0.097869124,-0.267469567,0.666153387,-0.590712947,0.315265664,-0.722304984,-0.234162579,-0.138013392,-0.055481924,-0.51047317,0.187118611
-0.458378727,-0.005494752,-0.335832928,1.222616544,-0.049260769,0.598267439,-0.828495815,-0.345564359,-0.027233115,0.21838323,0.477707626,-0.135658426
-0.313665001,-0.076585433,-0.316756288,0.763308178,-0.276494436,-0.79367986,-0.335658151,-0.593675995,0.479700936,-0.144333601,-0.331520342,0.316739939
-0.306552397,0.25391221,-0.704411518,0.505750496,0.412130305,0.658872708,-0.688152996,-0.246631495,-0.120207284,0.661193538,0.367885967,-0.370563566
0.161941438,-0.332379661,-0.177689138,1.075933373,0.251852293,0.667881713,-0.969459884,-0.16893166,0.088278266,-0.18658238,0.239337726,0.549350728
0.610951392,-1.100734833,-0.159212834,0.770971436,-0.771510003,0.573576266,0.526745063,0.656418657,0.281087184,0.651424744,0.665935078,-0.009594577
-0.504342028,0.249647999,-0.365738877,1.433159637,0.351846377,-0.485462202,-0.392037385,-0.450393602,-0.005280404,0.277855359,0.355107145,-0.245962467
-0.013952475,-1.228471819,0.242896188,1.108980583,-0.312413288,0.698045759,0.01373143,0.338549581,1.012816872,0.250922962,0.233768752,0.338663234
-0.30401267,-1.175712174,0.287136828,1.094519444,-0.296732324,0.77401539,0.372672135,0.360115742,0.128742257,0.15124051,-0.388419847,0.535837696
-0.354562893,-0.590358399,0.327241492,1.296765489,-0.07170938,-0.557976643,-0.49998228,0.439825033,0.68176197,0.492220518,0.180290338,-0.077706234
-0.199516061,-0.93106101,0.350420873,1.491968995,0.282595374,0.945210155,-0.012057023,0.299828069,0.075745368,0.300919228,0.496118069,0.180634444
-0.351023614,-0.667209632,0.348350526,1.128132572,-0.339349082,0.409718881,-0.801243745,0.515185303,0.62774511,0.562217664,0.152491755,-0.015568825
-0.013687244,-1.148187173,0.110216054,1.266186657,-0.11504318,-0.035789065,0.622723619,0.229291942,0.988586239,0.309208139,0.383965755,0.288678161
-0.636749436,0.198524588,-0.184874906,0.839023472,-0.200981557,0.505278138,-0.700032376,-0.743459608,-0.452255357,-0.054273113,0.144183199,0.133932923
0.477294903,0.394172586,-0.454688147,0.224782153,-0.717944875,-0.763832226,-0.175717788,0.039241271,-0.517044291,-0.010988493,-0.012359859,-1.1003695
0.24203248,-0.55898859,0.680753006,0.963189942,0.571766748,-0.058411708,0.590403331,-0.350990959,-0.379512699,0.496457291,-0.100500095,-0.789903063
-0.175203448,-0.52946895,0.178391582,-0.00275738,0.363047813,-0.493952604,-0.393099864,0.105099218,0.890093104,0.659297238,0.121627666,1.039531905
0.119009,-0.633190335,-0.494057493,0.665288996,-0.435798787,0.692994574,0.425331332,-0.269320186,-0.688218295,-0.429622385,0.489302905,0.842491865
0.311582238,-0.449255076,-0.650518193,0.946080571,-0.45288445,0.732897575,0.118259093,-0.230242614,0.554622209,0.373126735,-0.13535244,-0.190289855
0.617107169,-0.129421441,-0.031335003,0.403496082,-0.0377662,-0.51493057,-0.475088482,-0.175639181,0.322878718,-0.707926342,-0.48121659,-0.250734033
-0.508527686,-0.061809628,-0.384159747,1.439844346,0.109418028,-0.550692414,-0.504161733,0.175445857,0.318260679,0.293072734,-0.598886065,0.155279014
0.69957622,-0.200101117,-0.205280914,0.74795,0.195884098,0.644590523,-0.846358612,-0.539824052,0.13164654,-0.04839936,0.099043308,-0.03090921
-0.172589431,-1.133806985,-0.061537368,1.115740466,-0.776512205,0.586321768,0.448193504,0.901756584,0.09940348,0.582481037,0.521781027,0.158250439
0.350541233,-0.366159133,-0.245438354,0.634645962,0.041171693,0.49711839,-0.934136267,0.193183107,-0.978076564,-0.539248564,-0.174343462,0.951543521
-0.399689428,-0.614785096,-0.848961882,1.05044471,-1.001360858,0.593301867,0.447872358,0.352195333,-0.16012429,0.369618093,0.241119227,0.043101893
-0.679340672,0.242537662,-0.191300138,1.093349894,0.115518684,-0.416346088,-0.444278269,-0.709452545,-0.458717573,-0.174985227,0.206891282,0.310718746
